gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2834200727	StillImage	image/jpeg	https://observation.org/photos/23079881.jpg							Maarten Immerzeel			http://creativecommons.org/licenses/by-nc-nd/4.0/	Maarten Immerzeel
2834159976	StillImage	image/jpeg	https://observation.org/photos/21172576.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834159976	StillImage	image/jpeg	https://observation.org/photos/21172575.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834158834	StillImage	image/jpeg	https://observation.org/photos/22508309.jpg							Wouter Bol			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wouter Bol
2834158686	StillImage	image/jpeg	https://observation.org/photos/22427429.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834158287	StillImage	image/jpeg	https://observation.org/photos/2487298.jpg							Wilma van Holten			http://creativecommons.org/licenses/by-nc/4.0/	Wilma van Holten
2834158287	StillImage	image/jpeg	https://observation.org/photos/2487295.jpg							Wilma van Holten			http://creativecommons.org/licenses/by-nc/4.0/	Wilma van Holten
2834158287	StillImage	image/jpeg	https://observation.org/photos/2487296.jpg							Wilma van Holten			http://creativecommons.org/licenses/by-nc/4.0/	Wilma van Holten
2834158233	StillImage	image/jpeg	https://observation.org/photos/2396037.jpg							Ralph Smits			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ralph Smits
2834157992	StillImage	image/jpeg	https://observation.org/photos/2095032.jpg							E Kerssens			http://creativecommons.org/licenses/by-nc/4.0/	Edwin Kerssens
2834154189	StillImage	image/jpeg	https://observation.org/photos/21274673.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834151597	StillImage	image/jpeg	https://observation.org/photos/1519052.jpg							Willem Wind			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Wind
2834151597	StillImage	image/jpeg	https://observation.org/photos/1519050.jpg							Willem Wind			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Wind
2834150554	StillImage	image/jpeg	https://observation.org/photos/1391411.jpg							Peter Krijnen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Peter Krijnen
2834150525	StillImage	image/jpeg	https://observation.org/photos/1202850.jpg							Maarten Immerzeel			http://creativecommons.org/licenses/by-nc-nd/4.0/	Maarten Immerzeel
2834140237	StillImage	image/jpeg	https://observation.org/photos/2395840.jpg							Ralph Smits			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ralph Smits
2834136932	StillImage	image/jpeg	https://observation.org/photos/22719987.jpg							Koen Hiemstra			http://creativecommons.org/licenses/by-nc-nd/4.0/	Koen Hiemstra
2834133009	StillImage	image/jpeg	https://observation.org/photos/21166302.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834121974	StillImage	image/jpeg	https://observation.org/photos/22555399.jpg							Pieter Baalbergen			http://creativecommons.org/licenses/by-nc/4.0/	Pieter Baalbergen
2834119916	StillImage	image/jpeg	https://observation.org/photos/22425295.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834117113	StillImage	image/jpeg	https://observation.org/photos/20860393.jpg							Marieke en Dolf			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marieke en Dolf
2834110540	StillImage	image/jpeg	https://observation.org/photos/20856081.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834104420	StillImage	image/jpeg	https://observation.org/photos/23079858.jpg							Maarten Immerzeel			http://creativecommons.org/licenses/by-nc-nd/4.0/	Maarten Immerzeel
2834092229	StillImage	image/jpeg	https://observation.org/photos/22508302.jpg							Wouter Bol			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wouter Bol
2834091994	StillImage	image/jpeg	https://observation.org/photos/22398244.jpg							Jean Jordaens			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jean Jordaens
2834084576	StillImage	image/jpeg	https://observation.org/photos/22698791.jpg							Koen Hiemstra			http://creativecommons.org/licenses/by-nc-nd/4.0/	Koen Hiemstra
2834083552	StillImage	image/jpeg	https://observation.org/photos/20834420.jpg							Marieke en Dolf			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marieke en Dolf
2834081737	StillImage	image/jpeg	https://observation.org/photos/20965961.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834081608	StillImage	image/jpeg	https://observation.org/photos/20925956.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834073814	StillImage	image/jpeg	https://observation.org/photos/22508319.jpg							Wouter Bol			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wouter Bol
2834073640	StillImage	image/jpeg	https://observation.org/photos/22425284.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834069557	StillImage	image/jpeg	https://observation.org/photos/20857475.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834069127	StillImage	image/jpeg	https://observation.org/photos/24623163.jpg							Michiel Poolman			http://creativecommons.org/licenses/by-nc-nd/4.0/	Michiel Poolman
2834069127	StillImage	image/jpeg	https://observation.org/photos/24623164.jpg							Michiel Poolman			http://creativecommons.org/licenses/by-nc-nd/4.0/	Michiel Poolman
2834061039	StillImage	image/jpeg	https://observation.org/photos/67549368.jpg							Erik ETIENNE			http://creativecommons.org/licenses/by-nc-nd/4.0/	Erik ETIENNE
2834061039	StillImage	image/jpeg	https://observation.org/photos/67550933.jpg							Erik ETIENNE			http://creativecommons.org/licenses/by-nc-nd/4.0/	Erik ETIENNE
2834055063	StillImage	image/jpeg	https://observation.org/photos/21239318.jpg							Erik ETIENNE			http://creativecommons.org/licenses/by-nc-nd/4.0/	Erik ETIENNE
2834051852	StillImage	image/jpeg	https://observation.org/photos/22555385.jpg							Pieter Baalbergen			http://creativecommons.org/licenses/by-nc/4.0/	Pieter Baalbergen
2834048694	StillImage	image/jpeg	https://observation.org/photos/22768472.jpg										http://creativecommons.org/licenses/by-nd/4.0/	Johan Zielman
2834048408	StillImage	image/jpeg	https://observation.org/photos/22639595.jpg							Wout Willems			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wout Willems
